OBJECTID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,OccHU_e19,OccHU_m19,VehicAvail0_e19,VehicAvail0_m19,pVehicAvail0_e19,pVehicAvail0_m19,VehicAvail1_e19,VehicAvail1_m19,pVehicAvail1_e19,pVehicAvail1_m19,VehicAvail2_e19,VehicAvail2_m19,pVehicAvail2_e19,pVehicAvail2_m19,VehicAvail3P_e19,VehicAvail3P_m19,pVehicAvail3P_e19,pVehicAvail3P_m19,SHAPE_Length,SHAPE_Area
475,Central Savannah River Area,No,30906,3564,ZCTA,ZCTA5 30906,19588,568,1414,285,7.2,1.4,7684,606,39.2,2.9,6629,548,33.8,2.6,3861,426,19.7,2.1,1.43510617654178,0.0215463909000319
476,Central Savannah River Area,No,30907,3565,ZCTA,ZCTA5 30907,18140,683,391,139,2.2,0.8,6110,640,33.7,3.3,7710,606,42.5,2.9,3929,437,21.7,2.3,0.522700253213443,0.00633833723679767
477,Central Savannah River Area,No,30909,3566,ZCTA,ZCTA5 30909,16787,682,928,288,5.5,1.7,7284,681,43.4,3.7,5579,594,33.2,3.3,2996,488,17.8,2.8,0.533421813709564,0.00656200246089702
478,Central Savannah River Area,No,30912,3567,ZCTA,ZCTA5 30912,0,13,0,18,,,0,18,,,0,18,,,0,32,,,0.0362438781067235,3.70770992824346e-05
479,Heart of Georgia Altamaha,No,31001,3568,ZCTA,ZCTA5 31001,900,142,27,18,3,1.9,394,90,43.8,7.2,343,84,38.1,7.1,136,48,15.1,4.7,1.67740749481863,0.0439928130272042
480,Atlanta Regional Commission,Yes,30038,3171,ZCTA,ZCTA5 30038,14871,661,479,212,3.2,1.4,6595,827,44.3,5.2,4585,764,30.8,4.9,3212,592,21.6,3.9,0.469856970135006,0.00741288858553353
481,Atlanta Regional Commission,Yes,30039,3172,ZCTA,ZCTA5 30039,14983,417,432,274,2.9,1.8,3560,529,23.8,3.5,6401,704,42.7,4.5,4590,631,30.6,4.1,0.467116515841008,0.0064309012562554
482,Coastal Regional Commission,No,31323,3677,ZCTA,ZCTA5 31323,587,111,27,18,4.6,2.9,196,86,33.4,13.2,172,58,29.3,8.2,192,64,32.7,9.1,1.86080261654093,0.0333158142771837
483,Coastal Regional Commission,No,31324,3678,ZCTA,ZCTA5 31324,9212,280,349,170,3.8,1.8,1869,309,20.3,3.3,4367,426,47.4,4.4,2627,324,28.5,3.4,1.30009000807194,0.0351692676532861
484,Coastal Regional Commission,No,31326,3679,ZCTA,ZCTA5 31326,7770,304,300,117,3.9,1.5,2389,348,30.7,4.3,3107,348,40,4.2,1974,281,25.4,3.5,0.903738641103282,0.0174588111403629
485,River Valley,No,31909,3853,ZCTA,ZCTA5 31909,15091,512,677,194,4.5,1.3,5802,608,38.4,3.8,6350,522,42.1,3.2,2262,328,15,2.1,0.440168581785269,0.00457253060846103
486,Southwest Georgia,No,39813,3854,ZCTA,ZCTA5 39813,787,134,64,36,8.1,4.3,273,86,34.7,9.2,302,92,38.4,9.7,148,64,18.8,7.5,1.21719180202148,0.0304747390028047
487,Atlanta Regional Commission,Yes,30322,3336,ZCTA,ZCTA5 30322,0,13,0,18,,,0,18,,,0,18,,,0,32,,,0.0626069304847286,0.000109087271823479
488,Atlanta Regional Commission,Yes,30324,3337,ZCTA,ZCTA5 30324,14944,420,1207,267,8.1,1.8,8071,574,54,3.5,4674,434,31.3,2.8,992,242,6.6,1.6,0.3105808393012,0.00133822435619334
489,Atlanta Regional Commission,Yes,30326,3338,ZCTA,ZCTA5 30326,4056,435,439,177,10.8,4.2,2404,369,59.3,6.5,1173,296,28.9,6.6,40,55,1,1.3,0.0741935999108078,0.000174540624687314
490,Atlanta Regional Commission,Yes,30327,3339,ZCTA,ZCTA5 30327,9470,335,405,138,4.3,1.5,2594,284,27.4,2.8,3755,329,39.7,3.2,2716,300,28.7,3,0.413904086559022,0.00431017632757105
491,Atlanta Regional Commission,Yes,30328,3340,ZCTA,ZCTA5 30328,17176,514,1646,378,9.6,2.2,7197,661,41.9,3.6,6136,569,35.7,3.1,2197,290,12.8,1.6,0.327621929363748,0.00331777540291407
492,Atlanta Regional Commission,Yes,30329,3341,ZCTA,ZCTA5 30329,11584,424,1411,207,12.2,1.7,5490,427,47.4,3.3,3990,320,34.4,2.5,693,131,6,1.1,0.346812511377053,0.00137736176965372
493,Atlanta Regional Commission,Yes,30331,3342,ZCTA,ZCTA5 30331,24463,837,3350,538,13.7,2.1,10464,931,42.8,3.5,7643,857,31.2,3.3,3006,526,12.3,2.1,0.804743500112794,0.0094768263806371
494,Atlanta Regional Commission,Yes,30332,3343,ZCTA,ZCTA5 30332,0,13,0,18,,,0,18,,,0,18,,,0,32,,,0.0194097671429022,2.12241510685e-05
495,Atlanta Regional Commission,Yes,30334,3344,ZCTA,ZCTA5 30334,0,13,0,18,,,0,18,,,0,18,,,0,32,,,0.0205817793478529,1.2319423658005e-05
496,Atlanta Regional Commission,Yes,30336,3345,ZCTA,ZCTA5 30336,131,98,0,18,0,14,122,100,93.1,30.9,9,21,6.9,14.9,0,32,0,24.3,0.426228423292086,0.00268933868235149
497,Atlanta Regional Commission,Yes,30337,3346,ZCTA,ZCTA5 30337,5481,443,1348,233,24.6,3.8,2652,367,48.4,5.4,1045,194,19.1,3.2,436,150,8,2.7,0.321085396154462,0.003037781233298
498,Atlanta Regional Commission,Yes,30338,3347,ZCTA,ZCTA5 30338,14640,541,668,218,4.6,1.5,5569,541,38,3.4,6302,391,43,2.1,2101,297,14.4,2,0.271718799056631,0.00249949297451172
499,Atlanta Regional Commission,Yes,30339,3348,ZCTA,ZCTA5 30339,12761,406,388,141,3,1.1,6574,520,51.5,3.7,4882,423,38.3,3.1,917,223,7.2,1.7,0.47311372069965,0.00216898725046205
500,Atlanta Regional Commission,Yes,30340,3349,ZCTA,ZCTA5 30340,9524,412,1070,229,11.2,2.4,3863,378,40.6,3.6,3188,320,33.5,3,1403,218,14.7,2.2,0.368252093045332,0.00215778082059402
501,Atlanta Regional Commission,Yes,30341,3350,ZCTA,ZCTA5 30341,13049,508,935,221,7.2,1.7,5579,548,42.8,3.9,5012,386,38.4,2.6,1523,263,11.7,2,0.401921175773449,0.00256525871190544
502,Atlanta Regional Commission,Yes,30342,3351,ZCTA,ZCTA5 30342,12977,465,613,243,4.7,1.9,5468,538,42.1,3.9,4981,458,38.4,3.2,1915,272,14.8,2,0.309310251759361,0.00227436592297105
503,Atlanta Regional Commission,Yes,30344,3352,ZCTA,ZCTA5 30344,13205,567,1829,309,13.9,2.3,6795,511,51.5,3.2,3140,352,23.8,2.5,1441,248,10.9,1.8,0.456684322235786,0.00305136353754273
504,Atlanta Regional Commission,Yes,30345,3353,ZCTA,ZCTA5 30345,10427,359,612,189,5.9,1.8,3995,415,38.3,3.8,4213,379,40.4,3.4,1607,232,15.4,2.2,0.340978192713221,0.0018168271072512
505,Atlanta Regional Commission,Yes,30346,3354,ZCTA,ZCTA5 30346,3103,395,206,209,6.6,6.7,2312,379,74.5,7.7,571,214,18.4,6.5,14,37,0.5,1.2,0.0662523498034957,0.000254146880727857
506,Atlanta Regional Commission,Yes,30349,3355,ZCTA,ZCTA5 30349,27010,1065,2231,339,8.3,1.2,11608,944,43,3.1,8540,925,31.6,3.2,4631,721,17.1,2.6,0.897071496905942,0.0116336543051892
507,Atlanta Regional Commission,Yes,30350,3356,ZCTA,ZCTA5 30350,17106,577,1086,331,6.3,1.9,8329,638,48.7,3.3,5679,520,33.2,2.8,2012,271,11.8,1.5,0.402517966484657,0.00334637986531855
508,Atlanta Regional Commission,Yes,30354,3357,ZCTA,ZCTA5 30354,6390,578,1129,288,17.7,4.2,3108,460,48.6,5.7,1791,383,28,5.4,362,170,5.7,2.6,0.301787675702619,0.00271275533093722
509,Atlanta Regional Commission,Yes,30360,3358,ZCTA,ZCTA5 30360,5286,276,234,91,4.4,1.7,1664,268,31.5,4.8,2352,269,44.5,4.5,1036,190,19.6,3.5,0.288345638372258,0.00151394688724557
510,Three Rivers,Partial,30224,3278,ZCTA,ZCTA5 30224,9777,432,729,223,7.5,2.3,2876,423,29.4,4.1,3490,462,35.7,4.5,2682,435,27.4,4.3,1.17731277481326,0.0168243550978473
511,Atlanta Regional Commission,Yes,30363,3359,ZCTA,ZCTA5 30363,2110,287,247,109,11.7,4.9,1295,271,61.4,9.8,435,129,20.6,5.4,133,94,6.3,4.4,0.0465827162417416,8.05679262434396e-05
512,Heart of Georgia Altamaha,No,30401,3360,ZCTA,ZCTA5 30401,5129,321,712,183,13.9,3.5,1819,293,35.5,5.3,1698,269,33.1,4.8,900,198,17.5,3.7,2.33653227798516,0.0636627340967521
513,Heart of Georgia Altamaha,No,30410,3361,ZCTA,ZCTA5 30410,714,105,28,22,3.9,3.1,184,59,25.8,7.4,313,81,43.8,9.4,189,62,26.5,7.7,0.95607060083706,0.0166545350101107
514,Atlanta Regional Commission,Yes,30093,3205,ZCTA,ZCTA5 30093,18201,551,1441,314,7.9,1.7,7747,670,42.6,3.5,6428,651,35.3,3.4,2585,401,14.2,2.2,0.403682526419587,0.00306142975592994
515,Atlanta Regional Commission,Yes,30094,3206,ZCTA,ZCTA5 30094,11350,459,87,63,0.8,0.6,3227,451,28.4,3.8,4590,491,40.4,4,3446,452,30.4,3.8,0.571652558548072,0.0103131556922235
516,Atlanta Regional Commission,Yes,30096,3207,ZCTA,ZCTA5 30096,25825,592,1165,223,4.5,0.9,11020,643,42.7,2.3,9521,669,36.9,2.4,4119,417,15.9,1.6,0.57232844488385,0.00588521294642819
517,ARC / GM,Yes,30097,3208,ZCTA,ZCTA5 30097,16369,539,245,120,1.5,0.7,4244,544,25.9,3.2,7807,619,47.7,3.4,4073,445,24.9,2.6,0.782328230398587,0.00580005151233135
518,ARC / NW,Yes,30101,3209,ZCTA,ZCTA5 30101,20003,587,373,143,1.9,0.7,3983,449,19.9,2.2,8942,547,44.7,2.4,6705,676,33.5,3.2,0.766781986265138,0.0107732304714788
519,ARC / NW,Yes,30102,3210,ZCTA,ZCTA5 30102,14672,459,574,202,3.9,1.4,3446,407,23.5,2.7,6458,550,44,3.5,4194,439,28.6,2.9,0.785963019968008,0.0085088711770633
520,Northwest Georgia,Partial,30103,3211,ZCTA,ZCTA5 30103,5804,369,193,123,3.3,2.1,1592,377,27.4,6.3,2246,367,38.7,5.8,1773,383,30.5,6.3,1.33797449610747,0.0256723074674496
521,Northwest Georgia,Partial,30104,3212,ZCTA,ZCTA5 30104,1652,221,102,69,6.2,4.1,413,131,25,7.2,465,157,28.1,8.8,672,194,40.7,10.4,0.665701964733993,0.00980454004510474
522,Northwest Georgia,No,30105,3213,ZCTA,ZCTA5 30105,769,106,8,18,1,2.4,196,96,25.5,11.9,245,88,31.9,10.5,320,109,41.6,13,1.04896555250692,0.0152773485474609
523,Atlanta Regional Commission,Yes,30106,3214,ZCTA,ZCTA5 30106,8179,516,452,192,5.5,2.3,3423,467,41.9,5.1,2921,472,35.7,5.3,1383,270,16.9,3.1,0.568333725612364,0.00313505931245062
524,Coastal Regional Commission,No,31525,3707,ZCTA,ZCTA5 31525,11487,435,676,208,5.9,1.8,4278,459,37.2,3.7,4335,479,37.7,3.9,2198,318,19.1,2.7,1.2091790699212,0.0246956271642723
525,ARC / GM / NW,Partial,30107,3215,ZCTA,ZCTA5 30107,4859,348,146,107,3,2.2,788,197,16.2,3.9,2436,305,50.1,5.1,1489,272,30.6,5.2,1.27534972967588,0.027868614919496
526,Coastal Regional Commission,No,31527,3708,ZCTA,ZCTA5 31527,469,175,0,18,0,3.9,214,158,45.6,29.1,183,94,39,13.9,72,75,15.4,14.9,0.471646486437352,0.00792865841991432
527,Three Rivers,Partial,30108,3216,ZCTA,ZCTA5 30108,3115,242,184,91,5.9,2.9,862,196,27.7,5.9,1053,226,33.8,6.8,1016,257,32.6,7.8,1.00046315509584,0.0221746056328249
528,Heart of Georgia Altamaha,No,31532,3709,ZCTA,ZCTA5 31532,232,69,3,5,1.3,2.1,82,39,35.3,13.2,114,49,49.1,15.5,33,33,14.2,13.5,0.762381069357938,0.0127749283108399
529,NW / TR,Partial,30110,3217,ZCTA,ZCTA5 30110,5119,338,225,108,4.4,2.1,1317,304,25.7,5.7,2276,345,44.5,6.1,1301,269,25.4,5,0.97663081238719,0.0176157195283275
530,Southern Georgia,No,31533,3710,ZCTA,ZCTA5 31533,6206,364,736,246,11.9,3.9,2308,378,37.2,5.7,1928,321,31.1,4.8,1234,275,19.9,4.3,1.10661610312582,0.0167957133738848
531,Northwest Georgia,No,30113,3218,ZCTA,ZCTA5 30113,2300,219,67,44,2.9,1.9,581,155,25.3,6.3,784,191,34.1,7.6,868,205,37.7,8.2,1.37382752274831,0.0262107014745354
532,Southern Georgia,No,31535,3711,ZCTA,ZCTA5 31535,3950,313,201,107,5.1,2.7,1583,298,40.1,6.9,1443,305,36.5,7.2,723,213,18.3,5.2,1.24924504945367,0.0252612672359939
533,Atlanta Regional Commission,Yes,30114,3219,ZCTA,ZCTA5 30114,19573,714,971,271,5,1.4,5592,832,28.6,4.1,7658,712,39.1,3.3,5352,698,27.3,3.4,1.49394574030015,0.0289068763653802
534,CRC / SG,No,31537,3712,ZCTA,ZCTA5 31537,3004,238,324,101,10.8,3.3,877,174,29.2,5.3,924,191,30.8,5.9,879,181,29.3,5.6,2.08279940275412,0.0717799183100602
535,Atlanta Regional Commission,Yes,30115,3220,ZCTA,ZCTA5 30115,13953,492,217,160,1.6,1.1,1907,282,13.7,2,6665,546,47.8,3.5,5164,598,37,4.1,1.026801400214,0.0155783922717571
536,Heart of Georgia Altamaha,No,31539,3713,ZCTA,ZCTA5 31539,5108,288,521,200,10.2,3.9,1946,346,38.1,6.4,1666,264,32.6,4.8,975,244,19.1,4.7,1.75483092658439,0.0675810769561485
537,Three Rivers,Yes,30116,3221,ZCTA,ZCTA5 30116,8811,384,330,152,3.7,1.7,2395,417,27.2,4.6,3206,405,36.4,4.3,2880,430,32.7,4.7,1.22452388410167,0.0260483302741985
538,Southern Georgia,No,31542,3714,ZCTA,ZCTA5 31542,891,192,20,18,2.2,2,270,117,30.3,11.3,351,138,39.4,12.9,250,123,28.1,12.4,0.996013679917887,0.0251975444604135
539,Three Rivers,Yes,30117,3222,ZCTA,ZCTA5 30117,13332,593,935,255,7,1.9,4529,529,34,3.7,4634,506,34.8,3.5,3234,414,24.3,2.9,1.14091604606254,0.0278188372001222
540,CRC / HOGA / SG,No,31543,3715,ZCTA,ZCTA5 31543,1634,259,37,42,2.3,2.6,422,163,25.8,9.1,679,222,41.6,11.9,496,190,30.4,10.6,1.88507733280357,0.0307748105455261
541,Three Rivers,Yes,30118,3223,ZCTA,ZCTA5 30118,0,13,0,18,,,0,18,,,0,18,,,0,32,,,0.0512214324342856,9.4066436493881e-05
542,Heart of Georgia Altamaha,No,31544,3716,ZCTA,ZCTA5 31544,355,105,0,18,0,5.2,79,53,22.3,13.3,183,94,51.5,21.7,93,63,26.2,16.1,1.08820908897053,0.0254741930315792
543,Northwest Georgia,Yes,30120,3224,ZCTA,ZCTA5 30120,14544,545,719,237,4.9,1.6,4061,463,27.9,3,5828,540,40.1,3.4,3936,454,27.1,3,1.32176162323672,0.0235899182122614
544,Heart of Georgia Altamaha,No,31545,3717,ZCTA,ZCTA5 31545,5758,309,458,170,8,2.9,2099,317,36.5,5.1,2065,321,35.9,5.2,1136,254,19.7,4.3,1.17826814238003,0.0249381399957877
545,Northwest Georgia,Yes,30121,3225,ZCTA,ZCTA5 30121,8797,514,330,157,3.8,1.8,2865,458,32.6,4.8,3545,487,40.3,5,2057,363,23.4,3.9,1.27664578602385,0.0149515137647666
546,Heart of Georgia Altamaha,No,31546,3718,ZCTA,ZCTA5 31546,2641,236,212,97,8,3.6,682,193,25.8,6.9,1183,250,44.8,8.6,564,154,21.4,5.5,1.84594078913548,0.0424693217063068
547,Atlanta Regional Commission,Yes,30122,3226,ZCTA,ZCTA5 30122,9339,415,420,171,4.5,1.8,3172,421,34,4.3,3526,473,37.8,4.8,2221,393,23.8,4.1,0.523109135762322,0.00610142064491833
548,Coastal Regional Commission,No,31547,3719,ZCTA,ZCTA5 31547,67,36,0,18,0,27.4,0,18,0,27.4,62,38,92.5,28.1,5,30,7.5,44.4,0.186568919625639,0.000627066842260429
549,Northwest Georgia,No,30124,3227,ZCTA,ZCTA5 30124,1197,132,46,33,3.8,2.7,337,102,28.2,7.9,395,109,33,8.4,419,125,35,9.7,0.778740477894765,0.0154822201840258
550,Coastal Regional Commission,No,31548,3720,ZCTA,ZCTA5 31548,7796,383,355,164,4.6,2.1,2508,358,32.2,4.3,3220,356,41.3,4.1,1713,286,22,3.5,1.0763107541249,0.0142684184699691
551,Northwest Georgia,No,30125,3228,ZCTA,ZCTA5 30125,8895,457,729,214,8.2,2.4,2809,428,31.6,4.5,3117,374,35,3.8,2240,340,25.2,3.6,1.56831852768085,0.0464691743554796
552,Heart of Georgia Altamaha,No,31549,3721,ZCTA,ZCTA5 31549,744,141,134,56,18,6.7,323,93,43.4,9.5,149,60,20,7.1,138,76,18.5,9.6,1.43553771050065,0.0282053251322701
553,Atlanta Regional Commission,Yes,30126,3229,ZCTA,ZCTA5 30126,15544,516,586,217,3.8,1.4,4115,506,26.5,3.1,7175,628,46.2,3.7,3668,396,23.6,2.4,0.398942641211318,0.00526440401908253
554,Southern Georgia,No,31550,3722,ZCTA,ZCTA5 31550,307,148,0,18,0,6,137,112,44.6,29.5,88,75,28.7,20.2,82,98,26.7,29.4,0.831202269979436,0.0127239951081528
555,Coastal Regional Commission,No,31411,3692,ZCTA,ZCTA5 31411,4319,196,76,52,1.8,1.2,1394,219,32.3,4.8,2246,236,52,4.9,603,142,14,3.2,0.601684395964795,0.00615350161800476
556,ARC / NW,Yes,30127,3230,ZCTA,ZCTA5 30127,22629,700,376,132,1.7,0.6,4510,559,19.9,2.4,9913,729,43.8,2.9,7830,645,34.6,2.6,0.93434435165514,0.0129138636455866
557,Southern Georgia,No,31551,3723,ZCTA,ZCTA5 31551,303,102,0,18,0,6.1,120,69,39.6,18.3,130,58,42.9,12.7,53,52,17.5,16,1.04563888647121,0.0176922122114067
558,Coastal Regional Commission,No,31415,3693,ZCTA,ZCTA5 31415,4294,240,1142,167,26.6,3.6,1855,217,43.2,4.4,868,146,20.2,3.2,429,119,10,2.7,0.283396962384008,0.00156528494636945
559,Northwest Georgia,Yes,30132,3231,ZCTA,ZCTA5 30132,14235,568,710,361,5,2.5,3421,547,24,3.7,6138,610,43.1,3.9,3966,532,27.9,3.6,1.18425794253386,0.0279734249897372
560,Southern Georgia,No,31552,3724,ZCTA,ZCTA5 31552,380,153,13,20,3.4,5,24,19,6.3,4.3,244,131,64.2,22.6,99,84,26.1,19.6,1.16636932607783,0.0212350318866784
561,Coastal Regional Commission,No,31419,3694,ZCTA,ZCTA5 31419,21900,651,976,226,4.5,1,8249,671,37.7,2.9,8381,737,38.3,3.2,4294,563,19.6,2.5,1.65478844672175,0.016851541621293
562,ARC / NW,Yes,30134,3232,ZCTA,ZCTA5 30134,14797,626,868,263,5.9,1.8,4541,599,30.7,3.8,5735,603,38.8,3.7,3653,507,24.7,3.3,0.77348451983025,0.0125454986073352
563,Southern Georgia,No,31553,3725,ZCTA,ZCTA5 31553,1827,201,62,47,3.4,2.5,702,192,38.4,9.6,516,162,28.2,8.3,547,194,29.9,10.1,1.523967302256,0.0423716109335822
564,Atlanta Regional Commission,Yes,30135,3233,ZCTA,ZCTA5 30135,22412,519,504,194,2.2,0.9,5235,480,23.4,2.1,9200,669,41,2.8,7473,705,33.3,3.1,0.908957531354917,0.0212429627859125
565,Southern Georgia,No,31554,3726,ZCTA,ZCTA5 31554,1816,202,120,58,6.6,3.1,506,130,27.9,6.4,790,163,43.5,7.6,400,113,22,5.7,1.5853575029502,0.0516629643569197
566,Northwest Georgia,Yes,30137,3234,ZCTA,ZCTA5 30137,692,114,4,15,0.6,2.1,171,54,24.7,6.7,286,96,41.3,12.1,231,79,33.4,9.9,0.276115050350141,0.00100432274999886
567,Heart of Georgia Altamaha,No,31555,3727,ZCTA,ZCTA5 31555,975,143,14,18,1.4,1.9,280,109,28.7,10.4,447,138,45.8,12.5,234,83,24,7.8,1.6578454710004,0.0366104862065333
568,Northwest Georgia,Partial,30139,3235,ZCTA,ZCTA5 30139,1482,217,69,45,4.7,3,371,136,25,8.4,581,166,39.2,9.6,461,156,31.1,9.5,1.19682073411074,0.0182203199935566
569,Southern Georgia,No,31556,3728,ZCTA,ZCTA5 31556,32,16,0,18,0,57.5,15,14,46.9,35.5,9,10,28.1,28.9,8,30,25,94.3,0.062070844268869,0.000121130763892057
570,ARC / NW,Yes,30141,3236,ZCTA,ZCTA5 30141,8472,477,247,137,2.9,1.6,2058,382,24.3,4.3,3580,446,42.3,4.7,2587,397,30.5,4.4,0.583679052387474,0.00747599050203723
571,Southern Georgia,No,31557,3729,ZCTA,ZCTA5 31557,1279,152,34,21,2.7,1.6,388,131,30.3,9.6,579,129,45.3,8.5,278,109,21.7,8.1,1.71440874156551,0.0273534190992874
572,ARC / GM / NW,Partial,30143,3237,ZCTA,ZCTA5 30143,8949,454,298,113,3.3,1.3,1918,359,21.4,3.9,3971,411,44.4,4,2762,372,30.9,3.9,1.68172944852917,0.0355081799610094
573,Coastal Regional Commission,No,31558,3730,ZCTA,ZCTA5 31558,8120,318,292,117,3.6,1.4,2915,408,35.9,4.8,3258,419,40.1,4.9,1655,291,20.4,3.5,1.66397939523552,0.024905095073885
574,Atlanta Regional Commission,Yes,30144,3238,ZCTA,ZCTA5 30144,20568,711,490,207,2.4,1,7071,764,34.4,3.5,8428,734,41,3.3,4579,519,22.3,2.4,0.568510216943864,0.00575796765810519
575,Southern Georgia,No,31501,3695,ZCTA,ZCTA5 31501,6282,375,786,205,12.5,3.2,2871,375,45.7,5.3,1942,347,30.9,5.2,683,194,10.9,3,0.501938687900472,0.00325563240347863
576,Northwest Georgia,Partial,30145,3239,ZCTA,ZCTA5 30145,2754,310,32,33,1.2,1.2,650,189,23.6,6.3,1023,246,37.1,7.9,1049,217,38.1,6.6,1.30595801169434,0.0203346199115523
577,Northwest Georgia,No,30147,3240,ZCTA,ZCTA5 30147,1804,188,54,42,3,2.3,580,158,32.2,8.1,747,182,41.4,9.1,423,134,23.4,7,0.652373242238751,0.004640207370831
578,GM / NW,Partial,30148,3241,ZCTA,ZCTA5 30148,213,89,29,45,13.6,20.3,19,22,8.9,9.4,106,71,49.8,26.1,59,70,27.7,30.9,0.502595129817074,0.00274174090291154
579,Northwest Georgia,No,30149,3242,ZCTA,ZCTA5 30149,59,22,0,18,0,31.2,17,23,28.8,37.5,31,29,52.5,45.2,11,34,18.6,57.5,0.337982699269581,0.00221779948633881
580,Southern Georgia,No,31503,3696,ZCTA,ZCTA5 31503,7669,505,321,165,4.2,2.1,2488,384,32.4,4.5,3399,400,44.3,4.3,1461,280,19.1,3.4,3.10327307315271,0.082518834318891
581,Heart of Georgia Altamaha,No,31084,3637,ZCTA,ZCTA5 31084,36,23,0,18,0,51.1,4,14,11.1,39.1,19,21,52.8,46.3,13,29,36.1,78.2,0.039907146837221,6.87134366213209e-05
582,Northeast Georgia,No,31085,3638,ZCTA,ZCTA5 31085,384,62,13,19,3.4,4.9,68,36,17.7,9,112,43,29.2,10.2,191,61,49.7,13.7,0.77528783522472,0.0112564765218901
583,CSRA / MG,No,31087,3639,ZCTA,ZCTA5 31087,3011,404,370,157,12.3,5,1125,241,37.4,6.3,810,195,26.9,5.4,706,200,23.4,5.9,2.33267652601307,0.118311777325373
584,Middle Georgia,No,31088,3640,ZCTA,ZCTA5 31088,21364,598,709,214,3.3,1,7366,720,34.5,3.2,9235,839,43.2,3.7,4054,583,19,2.7,0.756160306478396,0.00787432989670899
585,Heart of Georgia Altamaha,No,31002,3569,ZCTA,ZCTA5 31002,1014,126,72,40,7.1,3.8,284,93,28,8.5,418,106,41.2,9.2,240,72,23.7,6.5,1.18398270775533,0.0291654027069586
586,Middle Georgia,No,31003,3570,ZCTA,ZCTA5 31003,37,18,0,18,0,49.7,9,16,24.3,41.1,22,20,59.5,45.2,6,27,16.2,71.5,0.19883238644842,0.00115067080887951
587,CSRA / HOGA,No,31089,3641,ZCTA,ZCTA5 31089,1801,156,151,60,8.4,3.3,517,129,28.7,6.7,682,129,37.9,6.4,451,117,25,6.1,1.46985019033845,0.0385448723904664
588,Middle Georgia,No,31005,3571,ZCTA,ZCTA5 31005,6150,345,225,157,3.7,2.5,1020,261,16.6,4.1,3368,403,54.8,5.8,1537,334,25,5.2,0.50925399760438,0.00487583548351229
589,Middle Georgia,No,31090,3642,ZCTA,ZCTA5 31090,376,61,17,12,4.5,3.1,148,57,39.4,13.9,111,34,29.5,7.7,100,49,26.6,12.4,1.44337998993286,0.0366704765061502
590,River Valley,No,31006,3572,ZCTA,ZCTA5 31006,1952,177,190,94,9.7,4.7,712,174,36.5,8.3,699,170,35.8,8.1,351,123,18,6.1,1.80234566378091,0.0454429116205826
591,River Valley,No,31007,3573,ZCTA,ZCTA5 31007,430,89,59,30,13.7,6.3,104,39,24.2,7.7,139,56,32.3,11.3,128,49,29.8,9.6,0.958101481844271,0.0155739747938477
592,Middle Georgia,No,31008,3574,ZCTA,ZCTA5 31008,7119,428,255,149,3.6,2.1,2531,479,35.6,6.4,2502,416,35.1,5.5,1831,329,25.7,4.4,0.931290096669848,0.0174678175254274
593,MG / RV,No,31091,3643,ZCTA,ZCTA5 31091,1401,253,185,99,13.2,6.6,431,153,30.8,9.4,372,144,26.6,9.1,413,134,29.5,7.9,1.03833103218345,0.0218464422586548
594,Heart of Georgia Altamaha,No,31009,3575,ZCTA,ZCTA5 31009,483,86,41,39,8.5,7.9,167,59,34.6,10.6,213,71,44.1,12.4,62,32,12.8,6.2,0.907339845457722,0.0178548740016946
595,River Valley,No,31092,3644,ZCTA,ZCTA5 31092,2686,271,293,125,10.9,4.5,1042,250,38.8,8.4,870,220,32.4,7.5,481,170,17.9,6.1,1.58084609978141,0.046873067070719
596,Middle Georgia,No,31093,3645,ZCTA,ZCTA5 31093,11139,512,1041,248,9.3,2.2,4067,497,36.5,4.1,3890,494,34.9,4.1,2141,352,19.2,3,0.661441978079729,0.00494418978586044
597,Central Savannah River Area,No,31094,3646,ZCTA,ZCTA5 31094,458,96,0,18,0,4,199,78,43.4,14.3,147,69,32.1,13.6,112,58,24.5,11.7,1.01101911211882,0.027236785198265
598,CSRA / HOGA,No,31096,3647,ZCTA,ZCTA5 31096,2500,318,244,107,9.8,4.1,865,192,34.6,6.3,835,181,33.4,5.9,556,128,22.2,4.3,1.32079734728948,0.0429334735850683
599,MG / TR,No,31097,3648,ZCTA,ZCTA5 31097,472,90,14,15,3,3.2,82,39,17.4,7.5,233,66,49.4,10.5,143,61,30.3,11.5,0.823174152242718,0.0134728823458066
600,Middle Georgia,No,31098,3649,ZCTA,ZCTA5 31098,1000,154,5,15,0.5,1.5,324,92,32.4,7.7,551,119,55.1,8.4,120,75,12,7.3,0.500460025099759,0.00462735813628054
601,Atlanta Regional Commission,Yes,30238,3284,ZCTA,ZCTA5 30238,12120,441,785,211,6.5,1.7,4313,400,35.6,3,4217,474,34.8,3.7,2805,388,23.1,3.1,0.540411658651084,0.00428210239328358
602,Three Rivers,No,30240,3285,ZCTA,ZCTA5 30240,10713,346,1166,254,10.9,2.3,3639,391,34,3.5,3613,400,33.7,3.6,2295,308,21.4,2.8,1.25973306521012,0.0417576097840758
603,Three Rivers,No,30241,3286,ZCTA,ZCTA5 30241,8769,323,734,188,8.4,2.1,3190,389,36.4,4.2,2889,381,32.9,4.2,1956,318,22.3,3.5,1.19630644924486,0.0281891072040539
